Gender,Nationality,Region,Year,Population
Female,Non Saudi,Al Bahah,2010,16209
Female,Non Saudi,Al Bahah,2011,16521
Female,Non Saudi,Al Bahah,2012,16752
Female,Non Saudi,Al Bahah,2013,17508
Female,Non Saudi,Al Bahah,2014,17682
Female,Non Saudi,Al Bahah,2015,18064
Female,Non Saudi,Al Bahah,2016,18333
Female,Non Saudi,Al Bahah,2017,18323
Female,Non Saudi,Al Bahah,2018,16951
Female,Non Saudi,Al Bahah,2019,16230
Female,Non Saudi,Al Bahah,2020,17817
Female,Non Saudi,Al Bahah,2021,16257
Female,Non Saudi,Al Bahah,2022,16511
Female,Non Saudi,Al Jawf,2010,21919
Female,Non Saudi,Al Jawf,2011,22938
Female,Non Saudi,Al Jawf,2012,23877
Female,Non Saudi,Al Jawf,2013,25616
Female,Non Saudi,Al Jawf,2014,26546
Female,Non Saudi,Al Jawf,2015,27810
Female,Non Saudi,Al Jawf,2016,28944
Female,Non Saudi,Al Jawf,2017,29670
Female,Non Saudi,Al Jawf,2018,28140
Female,Non Saudi,Al Jawf,2019,27622
Female,Non Saudi,Al Jawf,2020,31070
Female,Non Saudi,Al Jawf,2021,29056
Female,Non Saudi,Al Jawf,2022,30230
Female,Non Saudi,Al Madinah Al Munawwarah,2010,183087
Female,Non Saudi,Al Madinah Al Munawwarah,2011,186145
Female,Non Saudi,Al Madinah Al Munawwarah,2012,188259
Female,Non Saudi,Al Madinah Al Munawwarah,2013,196321
Female,Non Saudi,Al Madinah Al Munawwarah,2014,197755
Female,Non Saudi,Al Madinah Al Munawwarah,2015,201428
Female,Non Saudi,Al Madinah Al Munawwarah,2016,203853
Female,Non Saudi,Al Madinah Al Munawwarah,2017,203242
Female,Non Saudi,Al Madinah Al Munawwarah,2018,187483
Female,Non Saudi,Al Madinah Al Munawwarah,2019,179006
Female,Non Saudi,Al Madinah Al Munawwarah,2020,195897
Female,Non Saudi,Al Madinah Al Munawwarah,2021,178266
Female,Non Saudi,Al Madinah Al Munawwarah,2022,180469
Female,Non Saudi,Al Qaseem,2010,71249
Female,Non Saudi,Al Qaseem,2011,73064
Female,Non Saudi,Al Qaseem,2012,74544
Female,Non Saudi,Al Qaseem,2013,78423
Female,Non Saudi,Al Qaseem,2014,79708
Female,Non Saudi,Al Qaseem,2015,81928
Female,Non Saudi,Al Qaseem,2016,83675
Female,Non Saudi,Al Qaseem,2017,84205
Female,Non Saudi,Al Qaseem,2018,78408
Female,Non Saudi,Al Qaseem,2019,75593
Female,Non Saudi,Al Qaseem,2020,83533
Female,Non Saudi,Al Qaseem,2021,76769
Female,Non Saudi,Al Qaseem,2022,78494
Female,Non Saudi,Ar Riyadh,2010,796782
Female,Non Saudi,Ar Riyadh,2011,827255
Female,Non Saudi,Ar Riyadh,2012,854406
Female,Non Saudi,Ar Riyadh,2013,909928
Female,Non Saudi,Ar Riyadh,2014,936085
Female,Non Saudi,Ar Riyadh,2015,973777
Female,Non Saudi,Ar Riyadh,2016,1006495
Female,Non Saudi,Ar Riyadh,2017,1024901
Female,Non Saudi,Ar Riyadh,2018,965668
Female,Non Saudi,Ar Riyadh,2019,941810
Female,Non Saudi,Ar Riyadh,2020,1052826
Female,Non Saudi,Ar Riyadh,2021,978731
Female,Non Saudi,Ar Riyadh,2022,1012243
Female,Non Saudi,Aseer,2010,83691
Female,Non Saudi,Aseer,2011,86040
Female,Non Saudi,Aseer,2012,87999
Female,Non Saudi,Aseer,2013,92810
Female,Non Saudi,Aseer,2014,94571
Female,Non Saudi,Aseer,2015,97456
Female,Non Saudi,Aseer,2016,99789
Female,Non Saudi,Aseer,2017,100683
Female,Non Saudi,Aseer,2018,93991
Female,Non Saudi,Aseer,2019,90837
Female,Non Saudi,Aseer,2020,100638
Female,Non Saudi,Aseer,2021,92727
Female,Non Saudi,Aseer,2022,95054
Female,Non Saudi,Eastern Region,2010,324272
Female,Non Saudi,Eastern Region,2011,336571
Female,Non Saudi,Eastern Region,2012,347508
Female,Non Saudi,Eastern Region,2013,369982
Female,Non Saudi,Eastern Region,2014,380508
Female,Non Saudi,Eastern Region,2015,395711
Female,Non Saudi,Eastern Region,2016,408900
Female,Non Saudi,Eastern Region,2017,416253
Female,Non Saudi,Eastern Region,2018,392095
Female,Non Saudi,Eastern Region,2019,382301
Female,Non Saudi,Eastern Region,2020,427263
Female,Non Saudi,Eastern Region,2021,397085
Female,Non Saudi,Eastern Region,2022,410580
Female,Non Saudi,Hail,2010,29089
Female,Non Saudi,Hail,2011,30448
Female,Non Saudi,Hail,2012,31707
Female,Non Saudi,Hail,2013,34022
Female,Non Saudi,Hail,2014,35266
Female,Non Saudi,Hail,2015,36952
Female,Non Saudi,Hail,2016,38463
Female,Non Saudi,Hail,2017,39437
Female,Non Saudi,Hail,2018,37410
Female,Non Saudi,Hail,2019,36734
Female,Non Saudi,Hail,2020,41320
Female,Non Saudi,Hail,2021,38660
Female,Non Saudi,Hail,2022,40222
Female,Non Saudi,Jazan,2010,92868
Female,Non Saudi,Jazan,2011,95100
Female,Non Saudi,Jazan,2012,96882
Female,Non Saudi,Jazan,2013,101783
Female,Non Saudi,Jazan,2014,103302
Female,Non Saudi,Jazan,2015,106027
Female,Non Saudi,Jazan,2016,108131
Female,Non Saudi,Jazan,2017,108659
Female,Non Saudi,Jazan,2018,101035
Female,Non Saudi,Jazan,2019,97252
Female,Non Saudi,Jazan,2020,107309
Female,Non Saudi,Jazan,2021,98468
Female,Non Saudi,Jazan,2022,100532
Female,Non Saudi,Makkah Al Mukarramah,2010,1076909
Female,Non Saudi,Makkah Al Mukarramah,2011,1094964
Female,Non Saudi,Makkah Al Mukarramah,2012,1107492
Female,Non Saudi,Makkah Al Mukarramah,2013,1155014
Female,Non Saudi,Makkah Al Mukarramah,2014,1163579
Female,Non Saudi,Makkah Al Mukarramah,2015,1185309
Female,Non Saudi,Makkah Al Mukarramah,2016,1199669
Female,Non Saudi,Makkah Al Mukarramah,2017,1196162
Female,Non Saudi,Makkah Al Mukarramah,2018,1103527
Female,Non Saudi,Makkah Al Mukarramah,2019,1053771
Female,Non Saudi,Makkah Al Mukarramah,2020,1153302
Female,Non Saudi,Makkah Al Mukarramah,2021,1049612
Female,Non Saudi,Makkah Al Mukarramah,2022,1062692
Female,Non Saudi,Najran,2010,31040
Female,Non Saudi,Najran,2011,32654
Female,Non Saudi,Najran,2012,34155
Female,Non Saudi,Najran,2013,36829
Female,Non Saudi,Najran,2014,38338
Female,Non Saudi,Najran,2015,40343
Female,Non Saudi,Najran,2016,42172
Female,Non Saudi,Najran,2017,43408
Female,Non Saudi,Najran,2018,41338
Female,Non Saudi,Najran,2019,40726
Female,Non Saudi,Najran,2020,45978
Female,Non Saudi,Najran,2021,43156
Female,Non Saudi,Najran,2022,45059
Female,Non Saudi,Northern Borders,2010,14304
Female,Non Saudi,Northern Borders,2011,15287
Female,Non Saudi,Northern Borders,2012,16230
Female,Non Saudi,Northern Borders,2013,17746
Female,Non Saudi,Northern Borders,2014,18721
Female,Non Saudi,Northern Borders,2015,19954
Female,Non Saudi,Northern Borders,2016,21111
Female,Non Saudi,Northern Borders,2017,21979
Female,Non Saudi,Northern Borders,2018,21155
Female,Non Saudi,Northern Borders,2019,21056
Female,Non Saudi,Northern Borders,2020,24006
Female,Non Saudi,Northern Borders,2021,22741
Female,Non Saudi,Northern Borders,2022,23954
Female,Non Saudi,Tabuk,2010,34667
Female,Non Saudi,Tabuk,2011,35867
Female,Non Saudi,Tabuk,2012,36931
Female,Non Saudi,Tabuk,2013,39200
Female,Non Saudi,Tabuk,2014,40199
Female,Non Saudi,Tabuk,2015,41697
Female,Non Saudi,Tabuk,2016,42964
Female,Non Saudi,Tabuk,2017,43610
Female,Non Saudi,Tabuk,2018,40972
Female,Non Saudi,Tabuk,2019,39840
Female,Non Saudi,Tabuk,2020,44416
Female,Non Saudi,Tabuk,2021,41163
Female,Non Saudi,Tabuk,2022,42458
Female,Saudi,Al Bahah,2010,94797
Female,Saudi,Al Bahah,2011,96899
Female,Saudi,Al Bahah,2012,99234
Female,Saudi,Al Bahah,2013,101946
Female,Saudi,Al Bahah,2014,104998
Female,Saudi,Al Bahah,2015,108025
Female,Saudi,Al Bahah,2016,110757
Female,Saudi,Al Bahah,2017,113257
Female,Saudi,Al Bahah,2018,116010
Female,Saudi,Al Bahah,2019,119001
Female,Saudi,Al Bahah,2020,122365
Female,Saudi,Al Bahah,2021,125345
Female,Saudi,Al Bahah,2022,128405
Female,Saudi,Al Jawf,2010,169397
Female,Saudi,Al Jawf,2011,172724
Female,Saudi,Al Jawf,2012,176392
Female,Saudi,Al Jawf,2013,180666
Female,Saudi,Al Jawf,2014,185605
Female,Saudi,Al Jawf,2015,190315
Female,Saudi,Al Jawf,2016,194629
Female,Saudi,Al Jawf,2017,198447
Female,Saudi,Al Jawf,2018,202611
Female,Saudi,Al Jawf,2019,206987
Female,Saudi,Al Jawf,2020,211750
Female,Saudi,Al Jawf,2021,215787
Female,Saudi,Al Jawf,2022,219905
Female,Saudi,Al Madinah Al Munawwarah,2010,509074
Female,Saudi,Al Madinah Al Munawwarah,2011,519999
Female,Saudi,Al Madinah Al Munawwarah,2012,532216
Female,Saudi,Al Madinah Al Munawwarah,2013,546260
Female,Saudi,Al Madinah Al Munawwarah,2014,562344
Female,Saudi,Al Madinah Al Munawwarah,2015,577855
Female,Saudi,Al Madinah Al Munawwarah,2016,592006
Female,Saudi,Al Madinah Al Munawwarah,2017,604703
Female,Saudi,Al Madinah Al Munawwarah,2018,618598
Female,Saudi,Al Madinah Al Munawwarah,2019,633571
Female,Saudi,Al Madinah Al Munawwarah,2020,650123
Female,Saudi,Al Madinah Al Munawwarah,2021,664660
Female,Saudi,Al Madinah Al Munawwarah,2022,679397
Female,Saudi,Al Qaseem,2010,347561
Female,Saudi,Al Qaseem,2011,355120
Female,Saudi,Al Qaseem,2012,363544
Female,Saudi,Al Qaseem,2013,373193
Female,Saudi,Al Qaseem,2014,384306
Female,Saudi,Al Qaseem,2015,394991
Female,Saudi,Al Qaseem,2016,404745
Female,Saudi,Al Qaseem,2017,413455
Female,Saudi,Al Qaseem,2018,422996
Female,Saudi,Al Qaseem,2019,433415
Female,Saudi,Al Qaseem,2020,444914
Female,Saudi,Al Qaseem,2021,455121
Female,Saudi,Al Qaseem,2022,465458
Female,Saudi,Ar Riyadh,2010,1635160
Female,Saudi,Ar Riyadh,2011,1671318
Female,Saudi,Ar Riyadh,2012,1711976
Female,Saudi,Ar Riyadh,2013,1758368
Female,Saudi,Ar Riyadh,2014,1811466
Female,Saudi,Ar Riyadh,2015,1862723
Female,Saudi,Ar Riyadh,2016,1909357
Female,Saudi,Ar Riyadh,2017,1951078
Female,Saudi,Ar Riyadh,2018,1996692
Female,Saudi,Ar Riyadh,2019,2046070
Female,Saudi,Ar Riyadh,2020,2100681
Female,Saudi,Ar Riyadh,2021,2148761
Female,Saudi,Ar Riyadh,2022,2197165
Female,Saudi,Aseer,2010,544163
Female,Saudi,Aseer,2011,555911
Female,Saudi,Aseer,2012,569003
Female,Saudi,Aseer,2013,584082
Female,Saudi,Aseer,2014,601145
Female,Saudi,Aseer,2015,617900
Female,Saudi,Aseer,2016,633035
Female,Saudi,Aseer,2017,646707
Female,Saudi,Aseer,2018,661721
Female,Saudi,Aseer,2019,677910
Female,Saudi,Aseer,2020,696103
Female,Saudi,Aseer,2021,712009
Female,Saudi,Aseer,2022,728200
Female,Saudi,Eastern Region,2010,1077728
Female,Saudi,Eastern Region,2011,1101214
Female,Saudi,Eastern Region,2012,1127648
Female,Saudi,Eastern Region,2013,1157930
Female,Saudi,Eastern Region,2014,1192754
Female,Saudi,Eastern Region,2015,1226344
Female,Saudi,Eastern Region,2016,1256995
Female,Saudi,Eastern Region,2017,1284399
Female,Saudi,Eastern Region,2018,1314470
Female,Saudi,Eastern Region,2019,1346677
Female,Saudi,Eastern Region,2020,1382219
Female,Saudi,Eastern Region,2021,1413447
Female,Saudi,Eastern Region,2022,1444796
Female,Saudi,Hail,2010,197414
Female,Saudi,Hail,2011,201625
Female,Saudi,Hail,2012,206313
Female,Saudi,Hail,2013,211727
Female,Saudi,Hail,2014,217924
Female,Saudi,Hail,2015,223897
Female,Saudi,Hail,2016,229345
Female,Saudi,Hail,2017,234193
Female,Saudi,Hail,2018,239508
Female,Saudi,Hail,2019,245264
Female,Saudi,Hail,2020,251585
Female,Saudi,Hail,2021,257139
Female,Saudi,Hail,2022,262778
Female,Saudi,Jazan,2010,375471
Female,Saudi,Jazan,2011,383658
Female,Saudi,Jazan,2012,392808
Female,Saudi,Jazan,2013,403310
Female,Saudi,Jazan,2014,415289
Female,Saudi,Jazan,2015,426901
Female,Saudi,Jazan,2016,437497
Female,Saudi,Jazan,2017,447014
Female,Saudi,Jazan,2018,457451
Female,Saudi,Jazan,2019,468778
Female,Saudi,Jazan,2020,481453
Female,Saudi,Jazan,2021,492571
Female,Saudi,Jazan,2022,503886
Female,Saudi,Makkah Al Mukarramah,2010,1535534
Female,Saudi,Makkah Al Mukarramah,2011,1570069
Female,Saudi,Makkah Al Mukarramah,2012,1608752
Female,Saudi,Makkah Al Mukarramah,2013,1653242
Female,Saudi,Makkah Al Mukarramah,2014,1703946
Female,Saudi,Makkah Al Mukarramah,2015,1753158
Female,Saudi,Makkah Al Mukarramah,2016,1798091
Female,Saudi,Makkah Al Mukarramah,2017,1838533
Female,Saudi,Makkah Al Mukarramah,2018,1882931
Female,Saudi,Makkah Al Mukarramah,2019,1931101
Female,Saudi,Makkah Al Mukarramah,2020,1984600
Female,Saudi,Makkah Al Mukarramah,2021,2032042
Female,Saudi,Makkah Al Mukarramah,2022,2079845
Female,Saudi,Najran,2010,150396
Female,Saudi,Najran,2011,153469
Female,Saudi,Najran,2012,156915
Female,Saudi,Najran,2013,160858
Female,Saudi,Najran,2014,165373
Female,Saudi,Najran,2015,169708
Female,Saudi,Najran,2016,173674
Female,Saudi,Najran,2017,177215
Female,Saudi,Najran,2018,181060
Female,Saudi,Najran,2019,185115
Female,Saudi,Najran,2020,189598
Female,Saudi,Najran,2021,193396
Female,Saudi,Najran,2022,197308
Female,Saudi,Northern Borders,2010,103078
Female,Saudi,Northern Borders,2011,105154
Female,Saudi,Northern Borders,2012,107497
Female,Saudi,Northern Borders,2013,110175
Female,Saudi,Northern Borders,2014,113247
Female,Saudi,Northern Borders,2015,116221
Female,Saudi,Northern Borders,2016,118914
Female,Saudi,Northern Borders,2017,121315
Female,Saudi,Northern Borders,2018,123943
Female,Saudi,Northern Borders,2019,126707
Female,Saudi,Northern Borders,2020,129777
Female,Saudi,Northern Borders,2021,132401
Female,Saudi,Northern Borders,2022,135091
Female,Saudi,Tabuk,2010,239792
Female,Saudi,Tabuk,2011,244726
Female,Saudi,Tabuk,2012,250276
